"section10","levels","arc","arcName","sectionRole","playerExperience","difficultyShape","noveltyAxis","chainPolicy","generationDemand","originalCode1","originalCode2","originalCode3","originalCode4","originalShape","originalHole"
"1","1-10","1","新手与基础安全感","教学开场","每关一个教学/主题职责；低压但变化密集","1-9逐渐丰富；10轻困难小考","tutorial/hole/shape/lock/section/shell","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","9",,"0","0","3",
"2","11-20","1","新手与基础安全感","前20标杆","正式前20收束；19作为第一个可记住挑战，20释放","11回落；12-18小幅上涨；19高峰；20回落","tutorial/hole/shape/lock/section/shell","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","9","0",,"0",,
"3","21-30","1","新手与基础安全感","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约58+有效负载但不无限加链","tutorial/hole/shape/lock/section/shell","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","8",,"0",,"2",
"4","31-40","1","新手与基础安全感","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约58+有效负载但不无限加链","tutorial/hole/shape/lock/section/shell","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","3",,"0","2",
"5","41-50","1","新手与基础安全感","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约58+有效负载但不无限加链","tutorial/hole/shape/lock/section/shell","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","4","4",,,"2",
"6","51-60","2","稳定循环建立","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约64+有效负载但不无限加链","Flow/Peel/Mixed轮换，shape/hole作为anchor","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","2","2","0","2",
"7","61-70","2","稳定循环建立","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约64+有效负载但不无限加链","Flow/Peel/Mixed轮换，shape/hole作为anchor","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","3",,,"2",
"8","71-80","2","稳定循环建立","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约64+有效负载但不无限加链","Flow/Peel/Mixed轮换，shape/hole作为anchor","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","8","0","2","0","2",
"9","81-90","2","稳定循环建立","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约64+有效负载但不无限加链","Flow/Peel/Mixed轮换，shape/hole作为anchor","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","3","5",,,"2",
"10","91-100","2","稳定循环建立","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约64+有效负载但不无限加链","Flow/Peel/Mixed轮换，shape/hole作为anchor","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","4","4",,,"2",
