order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
1,FixedFront40,Tutorial,FixedFront40,refresh,tutorial,tutorial_simple,6,25,,,,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,fixed_front20:tutorial_simple:1,fixed_front20,fixed_front20
2,FixedFront40,Mechanic,FixedFront40,front20,hole_rescue,hole_mask_early_front,22,67,,,,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,restored-early-hole-2,restored-early-hole-2,restored-early-hole-2
3,FixedFront40,Recovery,FixedFront40,front20,normal,level3_tiny_preview,19,170,5,7,44,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,level3-tiny-pack-third,level3-tiny-pack-third,level3-tiny-pack-third
4,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,30,105,,,,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,fixed_front20:shape_early_prop:1,fixed_front20,fixed_front20
5,FixedFront40,Recovery,FixedFront40,refresh,normal,normal_campaign500,26,82,,,,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,fixed_front20:normal_campaign500:58,fixed_front20,fixed_front20
6,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,32,109,,,,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,fixed_front20:shape_early_prop:2,fixed_front20,fixed_front20
7,FixedFront40,Normal,FixedFront40,refresh,lock,no_mask_style_expansion_preview,39,117,14,8.41,67,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,front20_replace:motif:double_room_lock,fixed_front20_replace,long-straight-run
8,FixedFront40,Normal,FixedFront40,normal,normal,normal_campaign500,46,131,,,,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,fixed_front20:normal_campaign500:30,fixed_front20,fixed_front20
9,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,32,109,,,,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,fixed_front20:shape_early_prop:3,fixed_front20,fixed_front20
10,FixedFront40,Hard,FixedFront40,hard,lock,direct_pure_topup_slice01_candidates,60,237,10,5.08,192,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,front20_replace:direct_refresh:core_burst:g2,fixed_front20_replace,ok
11,FixedFront40,Recovery,FixedFront40,front20,normal,normal_campaign500,31,128,,,,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30
12,FixedFront40,Normal,FixedFront40,refresh,normal,normal_campaign500,50,153,,,,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,fixed_front20:normal_campaign500:63,fixed_front20,fixed_front20
13,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,37,130,,,,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,fixed_front20:shape_early_prop:4,fixed_front20,fixed_front20
14,FixedFront40,Recovery,FixedFront40,refresh,normal,normal_campaign500,42,121,,,,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,fixed_front20:normal_campaign500:83,fixed_front20,fixed_front20
15,FixedFront40,Pressure,FixedFront40,refresh,section,direct_pure_topup_slice02_candidates,53,147,13,9.32,120,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,front20_replace:direct_refresh:dual_zone:g4,fixed_front20_replace,ok
16,FixedFront40,Pressure,FixedFront40,normal,lock,direct_pure_topup_slice02_candidates,54,180,12,4.87,148,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,front20_replace:direct_refresh:core_burst:g3,fixed_front20_replace,ok
17,FixedFront40,Mechanic,FixedFront40,front20,hole_rescue,hole_mask_early_30_40,37,91,,,,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,early30to40-hole-17,early30to40-hole-17,early30to40-hole-17
18,FixedFront40,Normal,FixedFront40,normal,normal,normal_campaign500,53,155,,,,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,fixed_front20:normal_campaign500:13,fixed_front20,fixed_front20
19,FixedFront40,VeryHard,FixedFront40,very_hard,lock,direct_pure_topup_slice06_candidates,94,386,11,9.45,426,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,front20_replace:direct_normal:lock_buckle:g8,fixed_front20_replace,ok
20,FixedFront40,Recovery,FixedFront40,refresh,shell,no_mask_type_preview,41,112,8,5.54,103,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,front20_replace:asset:nomask_01_outer_shell,fixed_front20_replace,ok
21,FixedFront40,Normal,FixedFront40,refresh,sweep,no_mask_style_preview,44,181.1,12,6.25,72,nomask_style_02_snake_spine,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,motif:snake_spine,ok,ok
22,FixedFront40,Normal,FixedFront40,refresh,section,no_mask_style_expansion_preview,55,150.5,14,8.53,154,nomask_style_expansion_26_stair_ladder_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,motif:stair_ladder,ok,ok
23,FixedFront40,Normal,FixedFront40,shape,shape_magic,shape_final_with_supplement,80,220,12,10.00,0.12,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,shape:Magic:SpecialShape,NoRisk,MagicShape
24,FixedFront40,Normal,FixedFront40,refresh,section,direct_pure_topup_slice05_candidates,82,160.4,14,6.27,330,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,direct_normal:section_unlock:g9,ok,long-straight-run
25,FixedFront40,Normal,FixedFront40,normal,lock,direct_pure_normal_extra_slice01_candidates,98,153.1,13,9.42,520,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,direct_normal:lock_buckle:g16,ok,ok
26,HoleRescue,Mechanic,hole10_block_21_30,normal,hole_rescue,hole_combined_20260613,42,239,10,0.238,0.336,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,hole_combined:SectionUnlock:tall_18x26_section,hole10_v4:SectionUnlock:keep,hole10_v4_keep
27,Shape,Novelty,front_shape_recognition,shape,shape_object,shape_final_with_supplement,80,220,0,,,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,shape_final_with_supplement:Object:MainHourglassTall,shape_recognition_v4:front:hourglass,shape_recognition_v4
28,FixedFront40,Normal,FixedFront40,normal,maze,direct_pure_topup_slice02_candidates,63,213.0,7,5.06,259,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,direct_refresh:maze_long_chain:g5,ok,ok
29,FixedFront40,Normal,FixedFront40,normal,dense,direct_pure_normal_extra_slice02_candidates,99,145.4,21,9.72,363,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,direct_normal:dense_weave:g19,ok,ok
30,FixedFront40,Normal,FixedFront40,normal,lock,direct_normal_topup_candidates,106,199.2,8,5.26,598,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,direct_normal:core_burst:g8,ok,ok
31,FixedFront40,Normal,FixedFront40,refresh,sweep,direct_pure_topup_slice01_candidates,61,152.1,18,9.16,142,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,direct_refresh:sweep:g0,ok,ok
32,FixedFront40,Normal,FixedFront40,refresh,shape_magic,shape_final_with_supplement,83,228,,,,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,shape_magic:Magic:2,MagicShape,MagicShape
33,FixedFront40,Normal,FixedFront40,refresh,dense,direct_pure_topup_slice04_candidates,78,172.9,14,7.19,305,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,asset:direct_pure_topup_04_17_direct_n,ok,ok
34,FixedFront40,Normal,FixedFront40,refresh,lock,direct_pure_topup_slice04_candidates,93,153.4,17,7.33,448,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,direct_normal:lock_buckle:g6,ok,ok
35,FixedFront40,Normal,FixedFront40,refresh,dense,direct_pure_topup_slice01_candidates,65,154.7,18,8.38,201,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,direct_refresh:dense_weave:g1,ok,ok
36,FixedFront40,Normal,FixedFront40,normal,lock,direct_pure_normal_extra_slice01_candidates,83,218.6,7,5.73,330,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,direct_normal:core_burst:g16,ok,ok
37,HoleRescue,Mechanic,hole10_block_31_40,normal,hole_rescue,hole_combined_20260613,41,239,9,0.22,0.24,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,hole_combined:LockBuckle:std_20x22_lock,hole10_v4:LockBuckle:keep,hole10_v4_keep
38,FixedFront40,Normal,FixedFront40,shape,shape_magic,shape_final_with_supplement,88,224,12,10.00,0.12,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,shape:Magic:SpecialShape,NoRisk,MagicShape
39,FixedFront40,Normal,FixedFront40,normal,lock,direct_normal_candidates,101,176.1,16,7.28,493,direct_normal_06_direct_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,direct_normal:core_burst:g0,ok,ok
40,FixedFront40,Normal,FixedFront40,normal,lock,direct_pure_topup_slice05_candidates,103,199.1,13,5.09,527,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,direct_normal:lock_buckle:g10,ok;front40-hard-peak,ok
41,Recovery,Recovery,B_peak7_front50_manual,refresh,dense,direct_pure_topup_slice03_candidates,62,165.1,13,8.23,164,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,asset:direct_pure_topup_03_17_direct_r,ok,ok
42,Normal,Normal,B_peak7_front50_manual,refresh,dense,direct_pure_topup_slice04_candidates,80,146.7,18,9.93,249,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,direct_normal:dense_weave:g7,ok,ok
43,Shape,Novelty,B_peak7_front50_manual,refresh,shape_magic,shape_final_with_supplement,87,231,,,,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,shape_magic:Magic:79,MagicShape,MagicShape
44,Pressure,Hard,B_peak7_front50_manual,normal,section,direct_pure_normal_extra_slice01_candidates,86,185.8,12,6.00,343,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,direct_normal:quasi_symmetry:g15,ok,ok
45,Recovery,Recovery,B_peak7_front50_manual,refresh,lock,direct_pure_topup_slice05_candidates,74,167.3,15,7.88,239,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,direct_normal:lock_buckle:g9,ok,ok
46,HoleRescue,Mechanic,hole10_block_41_50,normal,hole_rescue,hole_combined_20260613,43,240,9,0.209,0.248,hole_candidate_017_std_20x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,hole_combined:MazeLongChain:std_20x26_maze,hole10_v4:MazeLongChain:keep,hole10_v4_keep
47,Peak,VeryHard,B_peak7_front50_manual,normal,lock,direct_normal_candidates,118,149.8,12,8.01,603,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,direct_normal:lock_buckle:g1,ok,ok
48,Shape,Novelty,B_peak7_front50_manual,refresh,shape_magic,shape_final_with_supplement,88,233,,,,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,shape_magic:Magic:80,MagicShape,MagicShape
49,Pressure,Hard,B_peak7_front50_manual,normal,section,direct_pure_normal_extra_slice01_candidates,89,186.3,13,6.10,387,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,direct_normal:quasi_symmetry:g17,ok,ok
50,Recovery,Recovery,B_peak7_front50_manual,refresh,sweep,no_mask_style_expansion_preview,67,165.4,12,8.07,184,nomask_style_expansion_35_zig_river_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset,motif:zig_river,ok,long-straight-run
51,Recovery,Recovery,C_double_wave,refresh,maze,direct_pure_topup_slice06_candidates,85,126.4,22,10.68,280,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,direct_normal:maze_long_chain:g6,ok,too-open
52,Pressure,Hard,C_double_wave,refresh,lock,direct_pure_topup_slice06_candidates,87,138.1,18,9.17,358,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,asset:direct_pure_topup_06_17_direct_n,ok,long-straight-run
53,Shape,Novelty,C_double_wave,normal,shape_space,shape_final_with_supplement,86,248,12,10.32,10.9,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,shape:Space:sci-fi:vehicle:procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,Normal
54,HoleRescue,Mechanic,hole10_block_51_60,normal,hole_rescue,hole_combined_20260613,43,240,7,0.163,0.301,hole_topup_001_topup_tall_18x26_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset,hole_combined:DenseWeave:topup_tall_18x26_dense,hole10_v4:DenseWeave:keep,hole10_v4_keep
55,Normal,Normal,C_double_wave,normal,section,direct_pure_normal_extra_slice01_candidates,94,139.0,20,12.49,362,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset,direct_normal:dual_zone:g16,ok,ok
56,Pressure,Hard,C_double_wave,refresh,dense,direct_pure_topup_slice05_candidates,96,141.3,18,8.06,416,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset,asset:direct_pure_topup_05_01_direct_n,ok,long-straight-run
57,Normal,Normal,C_double_wave,refresh,section,direct_pure_topup_slice06_candidates,84,145.7,15,8.02,279,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset,direct_normal:section_unlock:g8,ok,ok
58,Shape,Novelty,C_double_wave,normal,shape_symbol,shape_final_with_supplement,87,243,12,10.32,11.1,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,shape:Symbol:letters-symbols:symbol:procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,Normal
59,Peak,VeryHard,C_double_wave,refresh,lock,direct_pure_topup_slice04_candidates,89,167.5,14,6.21,455,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset,direct_normal:lock_buckle:g7,ok,ok
60,Recovery,Recovery,C_double_wave,refresh,section,no_mask_style_preview,59,136.5,18,10.07,120,nomask_style_06_stair_ladder,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset,motif:stair_ladder,ok,ok
61,HoleRescue,Mechanic,hole10_block_61_70,normal,hole_rescue,hole_combined_20260613,43,240,12,0.279,0.287,hole_candidate_057_tall_18x26_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset,hole_combined:LockBuckle:tall_18x26_lock,hole10_v4:LockBuckle:keep,hole10_v4_keep
62,Normal,Normal,D_visual_middle,refresh,dense,direct_pure_topup_slice02_candidates,63,180.6,17,6.27,136,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset,asset:direct_pure_topup_02_01_direct_r,ok,ok
63,Shape,Novelty,D_visual_middle,shape,shape_nature,shape_final_with_supplement,90,243,13,11.18,0.162,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,shape:Nature:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
64,Normal,Normal,D_visual_middle,refresh,maze,no_mask_style_expansion_preview,66,139.4,15,11.44,200,nomask_style_expansion_20_long_corridor_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_20_long_corridor_b.asset,motif:long_corridor,ok,long-straight-run
65,Pressure,Hard,D_visual_middle,normal,lock,direct_normal_candidates,104,156.6,18,9.99,508,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset,direct_normal:lock_buckle:g2,ok,ok
66,Recovery,Recovery,D_visual_middle,refresh,sweep,direct_pure_topup_slice04_candidates,89,148.0,19,8.79,357,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03.asset,direct_normal:sweep:g8,ok,long-straight-run
67,Shape,Novelty,D_visual_middle,normal,shape_symbol,shape_final_with_supplement,86,249,12,10.32,10.9,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,shape:Symbol:letters-symbols:symbol:procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,Normal
