"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","positionBeatRole","actualBeatRole","sectionDuty","sectionIntent","sectionTheme","slotDutyV2","playerTask","pressureIntent","styleTargetV2","chainLanguageTargetV2","mustChangeFromPrevious","acceptanceFocus","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"1","1","1","Main/Level_Main_1","normal","1","普通/恢复","6","21","ResetOpener","RecoveryBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","curve/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"2","1","2","Main/Level_Main_2_hole","hole","1","普通/恢复","22","130","BaselinePractice","SpecialAnchorBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"3","1","3","Main/Level_Main_3","normal","1","普通/恢复","19","122","LanguageTurn","VariationBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","Mixed/Peel/Flow","rail","链条语言切换，难度不必明显上涨","solved; visible language difference; pressure stays normal","front300-high","","","not_reviewed"
"4","1","4","Main/Level_Main_4","shape","1","普通/恢复","30","327","VisualSpatialTurn","SpecialAnchorBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"5","1","5","Main/Level_Main_5","normal","1","普通/恢复","26","364","BridgeRamp","RampBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"6","1","6","Main/Level_Main_6","shape","1","普通/恢复","32","369","FirstReadWindow","SpecialAnchorBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"7","1","7","Main/Level_Main_7","normal","1","普通/恢复","39","424","BreathOrPractice","RecoveryBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","curve/mixed","从6回落或换语言释放","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"8","1","8","Main/Level_Main_8","normal","1","普通/恢复","46","347","LatePressureWindow","PracticeBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","curve/rail","若模板为困难则做主困难；若普通则做后段练习","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"9","1","9","Main/Level_Main_9","shape","1","普通/恢复","32","194","PeakSetup","SpecialAnchorBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"10","1","10","Main/Level_Main_10","normal","2","困难","60","372","PeakOrLanding","HardReadBeat","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","本组落点；要有记忆点或清晰收束","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"11","2","1","Main/Level_Main_11","normal","1","普通/恢复","31","209","ResetOpener","RecoveryBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"12","2","2","Main/Level_Main_12","normal","1","普通/恢复","50","400","BaselinePractice","PracticeBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","rail/curve","与前后关保持风格/语言/画布手感差异","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"13","2","3","Main/Level_Main_13","shape","1","普通/恢复","37","201","LanguageTurn","SpecialAnchorBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"14","2","4","Main/Level_Main_14","normal","1","普通/恢复","42","310","VisualSpatialTurn","VariationBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","Mixed/Peel/Flow","curve","与前后关保持风格/语言/画布手感差异","solved; visible language difference; pressure stays normal","front300-high","","","not_reviewed"
"15","2","5","Main/Level_Main_15","normal","1","普通/恢复","53","355","BridgeRamp","RampBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
