"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","planningMode","detailedDuty","playerPurpose","targetPressure","designNeed","avoid","sectionDuty","sectionIntent","sectionTheme","positionBeatRole","actualBeatRole","slotDutyV2","styleTargetV2","chainLanguageTargetV2","planningRule","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"1","1","1","Main/Level_Main_1","normal","1","普通/恢复","6","21","handcrafted_onboarding","新手消除规则引导","知道点击可消链、箭头会整链清除、胜利目标是清空","极低","短链、少选择、无复杂依赖；第一关不动或只做安全微调","不要出现读题压力、不要大画布、不要长等待","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Mixed","curve/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"2","1","2","Main/Level_Main_2_hole","hole","1","普通/恢复","22","130","handcrafted_onboarding","营救主题与洞洞空间初见","知道关卡有任务主题差异，洞洞/空间变化会影响观察","低","hole rescue 是体验差异点，不做难度峰值","不要让洞洞造成失败感","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","BaselinePractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"3","1","3","Main/Level_Main_3","normal","1","普通/恢复","19","122","handcrafted_onboarding","镜头/画布尺度引导","从小教程过渡到稍宽/稍大的正式棋盘，学会看全局","低-中","画布比1、2略扩，但链条仍清楚；适合普通 flow/peel","不要用高密度或单区扫穿糊住镜头引导","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","LanguageTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"4","1","4","Main/Level_Main_4","shape","1","普通/恢复","30","327","handcrafted_onboarding","特殊图形解锁：水晶球","第一次明确感到 shape 是奖励/收集/解锁节点","低-中","水晶球形状第一视觉信号，清除过程要顺","不要把 shape 做成读题峰","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","VisualSpatialTurn","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"5","1","5","Main/Level_Main_5","normal","1","普通/恢复","26","364","handcrafted_onboarding","水晶球后续引导/普通关承接","从展示回到普通清除，感到刚解锁后的轻上坡","中低","普通关承接第4关，链条可略多但不压迫","不要使用过长单链作为主要难度","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"6","1","6","Main/Level_Main_6","shape","1","普通/恢复","32","369","handcrafted_onboarding","特殊图形解锁：橡皮擦","第二个特殊图形，建立“形状节点会持续出现”的预期","中低","形状差异明显，体验新鲜；不与第4关同质","不要连续两个shape都同一清法","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","FirstReadWindow","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"7","1","7","Main/Level_Main_7","normal","1","普通/恢复","39","424","handcrafted_onboarding","Lock结构轻引导","第一次感到有阻挡/锁定式读法，但仍可顺利过","中","lock 是主题，不是惩罚；需要有1步读题","不要让lock变成早期卡点","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","BreathOrPractice","RecoveryBeat","RecoveryFlow","Flow/Mixed","curve/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"8","1","8","Main/Level_Main_8","normal","1","普通/恢复","46","347","handcrafted_onboarding","普通练习与阶段上坡","在没有新规则的情况下练习前面学到的观察方式","中","可以比3/5更饱满，但仍然顺","不要硬做压力位","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","LatePressureWindow","PracticeBeat","NormalPractice","Flow/Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"9","1","9","Main/Level_Main_9","shape","1","普通/恢复","32","194","handcrafted_onboarding","特殊图形解锁：标尺","第三个视觉奖励节点，形成前10关的收集感","中","shape承担记忆点；难度不一定高","不要抢第10关小考的压力","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","PeakSetup","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"10","1","10","Main/Level_Main_10","normal","2","困难","60","372","handcrafted_onboarding","前10关小考：轻困难lock","第一次停一下读题，确认玩家理解区域/方向/阻挡","中高","困难要清楚公平，和前9关有明显读题差异","不要做成特困，不要靠链条数量硬堆","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","PeakOrLanding","HardReadBeat","ReadCheck","Peel/Hub-lite/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
