"order","action","status","severity","oldFlags","slotRole","oldType","relativeDifficulty","oldLevelId","oldAssetPath","oldWidth","oldHeight","oldChains","oldFill","newLevelId","newKind","newPool","newTypeGuess","newShapeName","newWidth","newHeight","newChains","newFill","chainDelta","sourceAsset","destAsset","reason"
"29","replace","Yellow","16","StartFakeWide","FixedFront40","dense","Normal","direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05.asset","22","32","94","0.987","sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri","normal","normal_sgp40_zip_complete","normal","","22","35","98","1","4","F:\Unityproject\ArrowLevel-Hand\.worktrees\architectural-linework\Exports\SGPManualCuratedFinal40_Levels.zip::Levels/Level_17_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_m.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset","replace_yellow_early_normal_with_curated_normal"
"87","replace","Yellow","18","GrindyLowClear","Shape","shape_object","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_large_mushroom","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L087_mushroom_large.asset","38","38","102","0.613","r2_outer_strong_005_r2_006_a401_maskonlyb07_06_main_racingkart","shape","shape_maskonly_accepted347_pack","shape","racingkart","40","32","107","0.96","5","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_06_main_racingkart_20260615_225216.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L087_maskonlyb07_06_main_racingkart_20260615_225216.asset","replace_remaining_yellow_shape_unused_family_chain_match"
"93","replace","Yellow","18","GrindyLowClear","Shape","shape_symbol","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L093_wrappedcandy_large.asset","37","29","86","0.684","r2_outer_strong_005_r2_006_a401_maskonlyb05_12_large_paintbrush","shape","shape_maskonly_accepted347_pack","shape","paintbrush","40","49","87","0.96","1","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_12_large_paintbrush_20260615_190905.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L093_maskonlyb05_12_large_paintbrush_20260615_190905.asset","replace_remaining_yellow_shape_unused_family_chain_match"
"103","replace","Yellow","18","GrindyLowClear","Shape","shape_ocean","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L103_paperplane_large.asset","44","38","102","0.501","r2_outer_strong_005_r2_006_a401_maskonlyb09_05_large_scissorsvarianta","shape","shape_maskonly_accepted347_pack","shape","scissorsvarianta","43","47","97","0.96","-5","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_05_large_scissorsvarianta_20260616_110955.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L103_maskonlyb09_05_large_scissorsvarianta_20260616_110955.asset","replace_remaining_yellow_shape_unused_family_chain_match"
"113","replace","Yellow","18","GrindyLowClear","Shape","shape_magic","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset","34","49","97","0.465","r2_outer_strong_005_r2_006_a401_maskonlyb01_02_large_umbrella","shape","shape_maskonly_accepted347_pack","shape","umbrella","43","47","97","0.96","0","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_large_umbrella_20260614_170816.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L113_maskonlyb01_02_large_umbrella_20260614_170816.asset","replace_remaining_yellow_shape_unused_family_chain_match"
"148","replace","Yellow","28","StartFakeWide|PeakTooFlat","Pressure","section","Hard","direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02.asset","19","35","99","0.988","sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_maze_08_sgp_linework_maze_bluepri","normal","normal_sgp40_zip_complete","normal","","23","37","111","1","12","F:\Unityproject\ArrowLevel-Hand\.worktrees\architectural-linework\Exports\SGPManualCuratedFinal40_Levels.zip::Levels/Level_16_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_m.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","replace_yellow_with_curated_normal"
"153","replace","Yellow","18","GrindyLowClear","Shape","shape_character","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_16_large_pumpkin","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L153_pumpkin_large.asset","43","38","115","0.64","r2_outer_strong_005_r2_006_a401_maskonlyb09_06_main_anchorvarianta","shape","shape_maskonly_accepted347_pack","shape","anchorvarianta","38","44","116","0.96","1","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_06_main_anchorvarianta_20260616_110957.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L153_maskonlyb09_06_main_anchorvarianta_20260616_110957.asset","replace_remaining_yellow_shape_unused_family_chain_match"
"213","replace","Yellow","18","GrindyLowClear","Shape","shape_nature","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb08_01_large_tornado","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L213_tornado_large.asset","38","49","110","0.506","r2_outer_strong_005_r2_006_a401_maskonlyb02_07_large_wizardhat","shape","shape_maskonly_accepted347_pack","shape","wizardhat","44","43","111","0.96","1","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_07_large_wizardhat_20260614_171915.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L213_maskonlyb02_07_large_wizardhat_20260614_171915.asset","replace_remaining_yellow_shape_unused_family_chain_match"
"261","replace","Yellow","18","GrindyLowClear","Recovery","sweep","Recovery","direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03.asset","22","42","122","0.986","sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri","normal","normal_sgp40_zip_complete","normal","","23","37","107","1","-15","F:\Unityproject\ArrowLevel-Hand\.worktrees\architectural-linework\Exports\SGPManualCuratedFinal40_Levels.zip::Levels/Level_23_sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_m.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L261_sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework.asset","replace_yellow_with_curated_recovery_like_normal"
"335","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_054_std_30x30_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","30","30","84","0.978","hole_proc_standard_24x30_mid_921469_24x30_c82","hole","Hole_old_pool","hole","","24","30","82","1","-2","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset","replace_yellow_same_role_candidate"
