"section10","levelRange","arcIndex","arcName","sectionDuty","sectionIntent","sectionTheme","flowShareGuidance","preferredStyleMix","effectiveLoadGuidance","code1","code2","code3","code4","normalSlots","shapeSlots","holeSlots","requiredContrast","releaseRule"
"1","1-10","1","规则建立与安全感","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","high","Flow/Peel/Shape/Hole/Mixed","normal≈26±12; hard≈44±15; peak≈62+; use effective load not raw chains","9","1","0","0","6","3","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"2","11-20","1","规则建立与安全感","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","high","Flow/Peel/Shape/Hole/Mixed","normal≈34±12; hard≈52±15; peak≈70+; use effective load not raw chains","9","0","1","0","8","1","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"3","21-30","1","规则建立与安全感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","high","Flow/Peel/Shape/Hole/Mixed","normal≈35±12; hard≈53±15; peak≈71+; use effective load not raw chains","8","1","0","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"4","31-40","1","规则建立与安全感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","high","Flow/Peel/Shape/Hole/Mixed","normal≈38±12; hard≈56±15; peak≈74+; use effective load not raw chains","6","3","1","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"5","41-50","1","规则建立与安全感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","high","Flow/Peel/Shape/Hole/Mixed","normal≈41±12; hard≈59±15; peak≈77+; use effective load not raw chains","4","4","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"6","51-60","2","稳定循环成型","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","medium-high","Flow/Peel/Mixed/Shape/Hole","normal≈35±12; hard≈53±15; peak≈71+; use effective load not raw chains","6","2","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"7","61-70","2","稳定循环成型","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","稳定普通节奏 + 初步读题 / PracticeBuild","medium-high","Flow/Peel/Mixed/Shape/Hole","normal≈38±12; hard≈56±15; peak≈74+; use effective load not raw chains","5","3","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"8","71-80","2","稳定循环成型","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","稳定普通节奏 + 初步读题 / VariationRead","medium-high","Flow/Peel/Mixed/Shape/Hole","normal≈41±12; hard≈59±15; peak≈77+; use effective load not raw chains","8","0","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"9","81-90","2","稳定循环成型","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","稳定普通节奏 + 初步读题 / PressureBuild","medium-high","Flow/Peel/Mixed/Shape/Hole","normal≈44±12; hard≈62±15; peak≈80+; use effective load not raw chains","3","5","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"10","91-100","2","稳定循环成型","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","稳定普通节奏 + 初步读题 / MiniPeakAndReset","medium-high","Flow/Peel/Mixed/Shape/Hole","normal≈47±12; hard≈65±15; peak≈83+; use effective load not raw chains","4","4","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"11","101-110","3","风格扩展","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","Peel/Mixed 扩展 + LongChain-lite / ArcEntryReset","medium","Peel/Mixed/LongChain-lite/Shape","normal≈41±12; hard≈59±15; peak≈77+; use effective load not raw chains","5","3","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
