"order","section10","mainMissionId","levelName","roleInSection","originalDifficultyNameZh","productionLane","productionChainLanguage","productionDifficultyBand","plannedWidth","plannedHeight","plannedAspect","targetChains","sourceV11LevelId","sourceV11AssetPath","reason"
"72","8","172","Main/Level_Main_72","Peak","特别困难","PeelHard","rail_chain","Peak","22","30","0.733","104","direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09.asset","no_strict_candidate_by_0910_timebox"
"206","21","306","Main/Level_Main_206","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","0.733","103","direct_normal_topup_04_direct_normal_topup_rect_core_burst_g6_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_04_direct_normal_topup_rect_core_burst_g6_v01.asset","no_strict_candidate_by_0910_timebox"
"219","22","319","Main/Level_Main_219","Hard","困难","PeelMid","curve_chain","Hard","23","31","0.742","105","direct_normal_topup_17_direct_normal_topup_rect_section_unlock_g8_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_17_direct_normal_topup_rect_section_unlock_g8_v03.asset","no_strict_candidate_by_0910_timebox"
"221","23","321","Main/Level_Main_221","Hard","困难","PeelMid","rail_chain","Hard","23","31","0.742","126","direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03.asset","no_strict_candidate_by_0910_timebox"
"231","24","331","Main/Level_Main_231","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","0.733","103","direct_pure_normal_extra_03_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice03/direct_pure_normal_extra_03_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v07.asset","no_strict_candidate_by_0910_timebox"
"248","25","348","Main/Level_Main_248","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","20","27","0.741","102","direct_normal_07_direct_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_07_direct_normal_rect_dual_zone_g0_v01.asset","no_strict_candidate_by_0910_timebox"
"252","26","352","Main/Level_Main_252","Hard","特别困难","PeelMid","rail_chain","Hard","25","33","0.758","147","direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06.asset","no_strict_candidate_by_0910_timebox"
"274","28","374","Main/Level_Main_274","Hard","特别困难","PeelMid","curve_chain","Hard","23","31","0.742","131","direct_diff120_95_direct_diff_hard_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_95_direct_diff_hard_near_square_stair_ladder_g3_v04.asset","no_strict_candidate_by_0910_timebox"
"299","30","399","Main/Level_Main_299","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","0.765","178","direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_138_direct_diff_veryhard_room_gate_double_room_lock_g4_v05.asset","no_strict_candidate_by_0910_timebox"
"302","31","402","Main/Level_Main_302","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","20","27","0.741","102","direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset","no_strict_candidate_by_0910_timebox"
"312","32","412","Main/Level_Main_312","Hard","特别困难","PeelMid","rail_chain","Hard","23","31","0.742","134","direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_22_direct_polish_hard_pure_rect_outer_shell_g9_v07.asset","no_strict_candidate_by_0910_timebox"
