"order","section10","category","difficultyNameZh","experienceRole","replacementMark","isChangedFromOriginalTemplate","finalStatus","assemblyAction","loadMode","originalLevelId","originalAssetPath","finalLevelId","finalAssetPath","actualLoadedAssetPath","actualLoadedGuid","syncAssetPath","replacementSourcePool","replacementSourceKind","assemblyGateClass","productionLane","productionStyle","productionChainLanguage","rhythmStyleGroup","sectionWaveRole","rhythmStageBand","templateTargetChains","actualChains","effectiveChainLoad","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore","rhythmPlacementReason","assemblySelectionReason"
"1","1","normal","普通/恢复","Normal","KEPT_CURRENT","False","OriginalKeptRhythmV4","KeepCurrent","BasePreviewFallback","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","c7475ef21e814ea4a946ec2a0d7f304d","U/Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","","","","","","","original","Normal","S00_front20_soft","6","","","","","","","first_level_keep_current","rhythm_v4|first_level_keep_current|do_not_replace"
"2","1","hole","普通/恢复","HoleRescue","KEPT_CURRENT","False","OriginalNonTarget","KeepCurrent","BasePreviewFallback","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","9595af5f4e73af041850c0510d56c48c","U/Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","","","","","","","","HoleRescue","S00_front20_soft","22","","","","","","","unchanged_from_v3_or_non_normal",""
"3","1","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","level3_tiny_03_level3_tiny_mini_maze_17","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L003_level3_tiny_03_level3_tiny_mini_maze_17.asset","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","3c91d272d5866a74d975240889939c30","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","Campaign500NormalFullV1UnusedStrict","normal","RhythmV4Front300TraceKeep","FlowRail","flow","rail_chain","flow","Normal","S00_front20_soft","19","36","36.51","0.988","7","3","0.809","target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6","rhythm_v4|target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6"
"4","1","shape","普通/恢复","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset","campaign500_shape_psg_newbie4_01_L004_crystalball","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","eaba78ee4bab22847a2ce9b36a31ec32","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","ShapeMaskInventory","shape_psg_inventory","FormalAccepted","","CoreBurst","","","Shape","S00_front20_soft","30","55","","0.989","8","8","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"5","1","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_style_01_hui_spiral","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L005_nomask_style_01_hui_spiral.asset","campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","a4d9901d831f12143b6d996cc7b4a25a","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","flow","Normal","S00_front20_soft","26","36","37.13","0.993","8","4","0.905","target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4","rhythm_v4|target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4"
"6","1","shape","普通/恢复","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset","campaign500_shape_psg_newbie4_02_L006_potionbottle","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","7b12cc727e6e3f946867411a083f8502","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","ShapeMaskInventory","shape_psg_inventory","FormalAccepted","","DenseWeave","","","Shape","S00_front20_soft","32","53","","0.984","6","8","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"7","1","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_style_expansion_08_double_room_lock_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","1428c7eb28f898345ab810eaf534c0ae","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","neutral","Normal","S00_front20_soft","39","50","51.15","0.976","8","5","0.851","target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6","rhythm_v4|target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6"
"8","1","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_08_dual_zone","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L008_nomask_08_dual_zone.asset","campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","e86dbea9763f7b54fa39c61d21a360ad","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","flow","Hard","S00_front20_soft","46","46","45.68","0.991","7","3","0.94","target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1","rhythm_v4|target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1"
"9","1","shape","普通/恢复","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset","campaign500_shape_psg_newbie4_03_L009_ruler","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","2225599075eb5c24f94f323070d3b62c","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","ShapeMaskInventory","shape_psg_inventory","FormalAccepted","","SectionUnlock","","","Shape","S00_front20_soft","32","34","","0.987","4","8","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"10","1","normal","困难","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L010_direct_pure_topup_01_22_direct_refresh_topup_rect_.asset","campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","541351506e0f93941828e12b8235e728","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","neutral","PeakExtreme","S00_front20_soft","60","52","53.84","0.98","6","4","0.833","target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9","rhythm_v4|target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9"
