order,section10,difficultyNameZh,sectionWaveRole,templateTargetChains,stageTargetChains,levelId,assetPath,sourcePool,sourceClass,styleGroup,style,chain,band,chains,maxChain,avgChain,effectiveChainLoad,maxChoices,local,near,sts,collapse,rhythmChainDelta,rhythmEffectiveDelta,placementReason
3,1,普通/恢复,Normal,19,19.0,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,Campaign500NormalFullV1UnusedStrict,flow,flow,FlowRail,rail_chain,NormalFlow,36,22,11.86,36.51,7,3,3,0.809,0.051,17.0,17.5,target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6
5,1,普通/恢复,Normal,26,26.0,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,36,22,11.92,37.13,8,4,3,0.905,0.181,10.0,11.1,target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4
7,1,普通/恢复,Normal,39,39.0,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,50,21,10.54,51.15,8,5,5,0.851,0.14,11.0,12.1,target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6
8,1,普通/恢复,Hard,46,46.0,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,46,22,11.63,45.68,7,3,2,0.94,0.064,0.0,-0.3,target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1
10,1,困难,PeakExtreme,60,48.0,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,52,21,10.17,53.84,6,4,2,0.833,0.194,-8.0,5.8,target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9
11,2,普通/恢复,Normal,31,31.0,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowCurve,rail_chain,NormalFlow,34,22,12.50,36.92,7,6,4,0.907,0.042,3.0,5.9,target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6
12,2,普通/恢复,Normal,50,50.0,campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,48,22,11.15,49.78,9,3,3,0.932,0.028,-2.0,-0.2,target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0
14,2,普通/恢复,Normal,42,42.0,campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,54,21,9.80,56.33,8,5,4,0.83,0.241,12.0,14.3,target=42;stageTarget=42;effective=56.3;chains=54;role=Normal;style=neutral;chain=mixed_chain;cost=58.2
15,2,普通/恢复,Normal,53,53.0,campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowCurve,curve_chain,NormalFlow,55,21,9.64,56.12,6,4,4,0.864,0.147,2.0,3.1,target=53;stageTarget=53;effective=56.1;chains=55;role=Normal;style=flow;chain=curve_chain;cost=12.2
16,2,普通/恢复,Hard,54,54.0,campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,56,21,9.39,59.83,8,6,5,0.895,0.123,2.0,5.8,target=54;stageTarget=54;effective=59.8;chains=56;role=Hard;style=neutral;chain=mixed_chain;cost=16.6
18,2,普通/恢复,Normal,53,53.0,c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,47,22,11.38,52.47,9,6,6,0.908,0.057,-6.0,-0.5,target=53;stageTarget=53;effective=52.5;chains=47;role=Normal;style=flow;chain=patch_chain;cost=26.5
