severity,scope,order,section10,rule,message
WARN,level,4,1,early_jump,chain jumps +40 from L3; early sections prefer smoother rise.
WARN,level,23,3,early_jump,chain jumps +44 from L22; early sections prefer smoother rise.
WARN,level,38,4,early_jump,chain jumps +47 from L37; early sections prefer smoother rise.
INFO,level,44,5,arrow_cap,non-peak arrow count 814 is high; visual comfort should be checked in Unity.
WARN,level,47,5,early_jump,chain jumps +51 from L46; early sections prefer smoother rise.
INFO,level,52,6,arrow_cap,non-peak arrow count 754 is high; visual comfort should be checked in Unity.
INFO,level,53,6,arrow_cap,non-peak arrow count 816 is high; visual comfort should be checked in Unity.
INFO,level,58,6,arrow_cap,non-peak arrow count 759 is high; visual comfort should be checked in Unity.
INFO,level,64,7,arrow_cap,non-peak arrow count 756 is high; visual comfort should be checked in Unity.
INFO,level,67,7,arrow_cap,non-peak arrow count 764 is high; visual comfort should be checked in Unity.
WARN,level,72,8,early_jump,chain jumps +47 from L71; early sections prefer smoother rise.
INFO,level,74,8,arrow_cap,non-peak arrow count 815 is high; visual comfort should be checked in Unity.
INFO,level,75,8,arrow_cap,non-peak arrow count 893 is high; visual comfort should be checked in Unity.
INFO,level,79,8,arrow_cap,non-peak arrow count 754 is high; visual comfort should be checked in Unity.
INFO,level,81,9,arrow_cap,non-peak arrow count 751 is high; visual comfort should be checked in Unity.
WARN,level,83,9,early_jump,chain jumps +46 from L82; early sections prefer smoother rise.
INFO,level,85,9,arrow_cap,non-peak arrow count 759 is high; visual comfort should be checked in Unity.
INFO,level,86,9,arrow_cap,non-peak arrow count 766 is high; visual comfort should be checked in Unity.
INFO,level,87,9,arrow_cap,non-peak arrow count 751 is high; visual comfort should be checked in Unity.
INFO,level,89,9,post_peak_release,"previous level was peak code 3, but chain only changes 8; verify there is a non-count release."
INFO,level,90,9,arrow_cap,non-peak arrow count 872 is high; visual comfort should be checked in Unity.
INFO,level,92,10,arrow_cap,non-peak arrow count 814 is high; visual comfort should be checked in Unity.
INFO,level,95,10,arrow_cap,non-peak arrow count 818 is high; visual comfort should be checked in Unity.
WARN,level,96,10,early_jump,chain jumps +39 from L95; early sections prefer smoother rise.
INFO,level,97,10,arrow_cap,non-peak arrow count 869 is high; visual comfort should be checked in Unity.
INFO,level,99,10,arrow_cap,non-peak arrow count 868 is high; visual comfort should be checked in Unity.
INFO,level,100,10,arrow_cap,non-peak arrow count 763 is high; visual comfort should be checked in Unity.
INFO,level,103,11,arrow_cap,non-peak arrow count 847 is high; visual comfort should be checked in Unity.
INFO,level,105,11,arrow_cap,non-peak arrow count 895 is high; visual comfort should be checked in Unity.
INFO,level,110,11,arrow_cap,non-peak arrow count 893 is high; visual comfort should be checked in Unity.
INFO,level,110,11,post_peak_release,"previous level was peak code 3, but chain only changes -3; verify there is a non-count release."
INFO,level,113,12,arrow_cap,non-peak arrow count 774 is high; visual comfort should be checked in Unity.
INFO,level,113,12,post_peak_release,"previous level was peak code 3, but chain only changes 3; verify there is a non-count release."
INFO,level,118,12,arrow_cap,non-peak arrow count 790 is high; visual comfort should be checked in Unity.
INFO,level,120,12,arrow_cap,non-peak arrow count 759 is high; visual comfort should be checked in Unity.
INFO,level,120,12,post_peak_release,"previous level was peak code 3, but chain only changes 44; verify there is a non-count release."
INFO,level,122,13,arrow_cap,non-peak arrow count 867 is high; visual comfort should be checked in Unity.
INFO,level,130,13,arrow_cap,non-peak arrow count 757 is high; visual comfort should be checked in Unity.
INFO,level,132,14,arrow_cap,non-peak arrow count 809 is high; visual comfort should be checked in Unity.
INFO,level,139,14,arrow_cap,non-peak arrow count 754 is high; visual comfort should be checked in Unity.
INFO,level,140,14,arrow_cap,non-peak arrow count 755 is high; visual comfort should be checked in Unity.
INFO,level,141,15,arrow_cap,non-peak arrow count 862 is high; visual comfort should be checked in Unity.
INFO,level,143,15,arrow_cap,non-peak arrow count 759 is high; visual comfort should be checked in Unity.
INFO,level,145,15,post_peak_release,"previous level was peak code 3, but chain only changes 37; verify there is a non-count release."
INFO,level,147,15,arrow_cap,non-peak arrow count 859 is high; visual comfort should be checked in Unity.
INFO,level,148,15,arrow_cap,non-peak arrow count 851 is high; visual comfort should be checked in Unity.
WARN,level,150,15,arrow_cap,non-peak arrow count 902 may feel visually heavy.
INFO,level,151,16,arrow_cap,non-peak arrow count 810 is high; visual comfort should be checked in Unity.
INFO,level,153,16,chain_cap,non-peak chain 131 is high; verify canvas comfort and avoid using count as the only pressure.
WARN,level,153,16,arrow_cap,non-peak arrow count 1056 may feel visually heavy.
INFO,level,157,16,post_peak_release,"previous level was peak code 3, but chain only changes 10; verify there is a non-count release."
INFO,level,158,16,arrow_cap,non-peak arrow count 837 is high; visual comfort should be checked in Unity.
INFO,level,165,17,post_peak_release,"previous level was peak code 3, but chain only changes 35; verify there is a non-count release."
WARN,level,168,17,arrow_cap,non-peak arrow count 1004 may feel visually heavy.
INFO,level,168,17,large_jump,chain jumps +65 from L167; verify there is a clear reason.
INFO,level,170,17,arrow_cap,non-peak arrow count 796 is high; visual comfort should be checked in Unity.
INFO,level,170,17,post_peak_release,"previous level was peak code 3, but chain only changes -5; verify there is a non-count release."
INFO,level,172,18,arrow_cap,non-peak arrow count 772 is high; visual comfort should be checked in Unity.
INFO,level,173,18,arrow_cap,non-peak arrow count 843 is high; visual comfort should be checked in Unity.
INFO,level,178,18,arrow_cap,non-peak arrow count 791 is high; visual comfort should be checked in Unity.
INFO,level,180,18,post_peak_release,"previous level was peak code 3, but chain only changes 5; verify there is a non-count release."
INFO,level,188,19,arrow_cap,non-peak arrow count 784 is high; visual comfort should be checked in Unity.
INFO,level,190,19,post_peak_release,"previous level was peak code 3, but chain only changes 47; verify there is a non-count release."
INFO,level,193,20,arrow_cap,non-peak arrow count 861 is high; visual comfort should be checked in Unity.
INFO,level,196,20,large_jump,chain jumps +54 from L195; verify there is a clear reason.
