order,section10,positionIn10,macroArc,sectionRole,levelName,category,difficultyCode,difficultyNameZh,isShapeSlot,shapeId,shapeNameZh,isHoleSlot,templateTargetChains,templateTargetChainsMin,templateTargetChainsMax,templateArrowTiles,targetWidth,targetHeight,targetAspect,slotDutyV2,targetExperience,front20DetailedDuty,front20PlayerPurpose,styleTargetV2,chainLanguageTargetV2,targetEffectiveLoadMin,targetEffectiveLoad,targetEffectiveLoadMax,effectiveLoadBand,readDemandTarget,requiredEvidence,avoidRules,loadInterpretationNote,replacementPriority,productionNeed,planningStatus,selectedCandidateId,selectedSource,reviewStatus
1,1,1,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_1,normal,1,普通/恢复,0,,,0,6,6,6,21,10,7,1.429,TutorialRule,"first click, chain clear, win condition",新手消除规则引导,知道点击可消链、箭头会整链清除、胜利目标是清空,Flow/Mixed,curve_short,3,6,8,3-8,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,keep_original,locked_spec_not_resource_assignment,,,
2,1,2,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_2_hole,hole,1,普通/恢复,0,,,1,22,19,25,130,16,18,0.889,HoleSpatialAnchor,rescue theme and hole-space contrast,营救主题与洞洞空间初见,知道关卡有任务主题差异，洞洞/空间变化会影响观察,Hole/Mixed,theme_space,8,13,18,8-18,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,P0_front20_manual,use_existing_hole_anchor_pool,locked_spec_not_resource_assignment,,,
3,1,3,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_3,normal,1,普通/恢复,0,,,0,19,16,22,122,9,14,0.643,CanvasStep,camera and wider board scale introduction,镜头/画布尺度引导,从小教程过渡到稍宽/稍大的正式棋盘，学会看全局,Flow/Peel/Mixed,rail_clear,18,23,28,18-28,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
4,1,4,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_4,shape,1,普通/恢复,1,crystalball,水晶球,0,30,27,33,327,20,24,0.833,ShapeAnchor,first crystalball visual unlock,特殊图形解锁：水晶球,第一次明确感到 shape 是奖励/收集/解锁节点,ShapeHosted/Peel/Mixed,theme_shape,20,25,30,20-30,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P0_front20_manual,use_existing_shape_anchor_pool,locked_spec_not_resource_assignment,,,
5,1,5,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_5,normal,1,普通/恢复,0,,,0,26,23,29,364,16,23,0.696,NormalPractice,post-shape normal continuation,水晶球后续引导/普通关承接,从展示回到普通清除，感到刚解锁后的轻上坡,Flow/Peel,rail_or_curve,24,29,34,24-34,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
6,1,6,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_6,shape,1,普通/恢复,1,eraser,橡皮擦,0,32,29,35,369,26,18,1.444,ShapeAnchor,"second shape unlock, keep pressure low",特殊图形解锁：橡皮擦,第二个特殊图形，建立“形状节点会持续出现”的预期,ShapeHosted/Peel/Mixed,theme_shape,24,30,36,24-36,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P0_front20_manual,use_existing_shape_anchor_pool,locked_spec_not_resource_assignment,,,
7,1,7,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_7,normal,1,普通/恢复,0,,,0,39,36,42,424,18,24,0.75,ReadCheck,first lock-like one-step read,Lock结构轻引导,第一次感到有阻挡/锁定式读法，但仍可顺利过,Peel/LockLite/Mixed,rail_patch,30,35,40,30-40,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,partial_supply_need_normalplus_readcheck,locked_spec_not_resource_assignment,,,
8,1,8,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_8,normal,1,普通/恢复,0,,,0,46,42,50,347,16,22,0.727,NormalPractice,ordinary practice and gentle ramp,普通练习与阶段上坡,在没有新规则的情况下练习前面学到的观察方式,Flow/Peel/Mixed,curve_or_rail,32,37,42,32-42,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
9,1,9,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_9,shape,1,普通/恢复,1,ruler,标尺,0,32,29,35,194,22,22,1.0,ShapeAnchor,third visual reward,特殊图形解锁：标尺,第三个视觉奖励节点，形成前10关的收集感,ShapeHosted/Peel/Mixed,theme_shape,30,36,42,30-42,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P0_front20_manual,use_existing_shape_anchor_pool,locked_spec_not_resource_assignment,,,
10,1,10,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_10,normal,2,困难,0,,,0,60,55,65,372,14,27,0.519,ReadCheck,front10 light quiz,前10关小考：轻困难lock,第一次停一下读题，确认玩家理解区域/方向/阻挡,Peel/LockLite/Mixed,rail_patch,34,38,42,34-42,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,partial_supply_need_normalplus_readcheck,locked_spec_not_resource_assignment,,,
