section10,levels,score,avgChain,minChain,maxChain,normalAvg,hardAvg,peakAvg,code1,code2,code3,code4,shape,hole,styleDiversity,findingCount,sectionRole,playerExperience,topRisk
1,1-10,100,30.3,6.0,55.0,20.2,38.0,0.0,9,1,0,0,3,1,7,0,教学开场,每关一个教学/主题职责；低压但变化密集,
2,11-20,100,42.3,29.0,60.0,38.0,0.0,60.0,9,0,1,0,1,1,9,0,前20标杆,正式前20收束；19作为第一个可记住挑战，20释放,
3,21-30,100,56.3,42.0,87.0,44.6,64.0,75.0,8,1,0,1,2,1,9,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
4,31-40,100,63.7,41.0,88.0,53.8,70.7,86.0,6,3,1,0,2,1,9,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
5,41-50,100,70.1,43.0,94.0,61.0,75.5,86.5,4,4,1,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
6,51-60,100,77.2,43.0,100.0,69.5,87.0,92.5,6,2,2,0,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
7,61-70,100,76.3,43.0,100.0,71.3,80.7,97.0,5,3,1,1,2,1,7,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
8,71-80,100,80.4,45.0,108.0,78.6,0.0,100.0,8,0,2,0,2,1,9,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
9,81-90,100,84.8,45.0,101.0,80.0,89.8,97.0,3,5,1,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
10,91-100,88,86.4,47.0,121.0,82.0,87.5,110.5,4,4,1,1,2,1,8,1,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,hard avg 87.5 is not clearly above normal avg 82.0.
11,101-110,100,86.4,47.0,117.0,74.0,106.7,97.5,5,3,2,0,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
12,111-120,88,81.0,43.0,98.0,86.0,94.0,67.5,5,3,2,0,2,1,7,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,peak avg 67.5 is not clearly above normal avg 86.0.
13,121-130,88,78.5,50.0,102.0,76.6,88.0,89.0,7,1,2,0,2,1,7,1,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,peak avg 89.0 is not clearly above normal avg 76.6.
14,131-140,100,78.4,52.0,99.0,73.5,84.8,99.0,5,4,0,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
15,141-150,88,81.8,40.0,111.0,81.0,111.0,69.0,7,1,1,1,2,1,9,1,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,peak avg 69.0 is not clearly above normal avg 81.0.
16,151-160,88,88.1,71.0,131.0,81.3,92.8,86.5,3,5,2,0,2,1,7,1,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,peak avg 86.5 is not clearly above normal avg 81.3.
17,161-170,88,85.0,37.0,119.0,81.0,118.5,73.0,6,2,2,0,2,1,7,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,peak avg 73.0 is not clearly above normal avg 81.0.
18,171-180,88,78.4,52.0,107.0,72.8,106.0,69.0,7,1,2,0,2,1,8,1,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,peak avg 69.0 is not clearly above normal avg 72.8.
19,181-190,76,72.7,22.0,106.0,78.8,75.0,22.0,8,1,1,0,2,1,8,2,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,hard avg 75.0 is not clearly above normal avg 78.8.; peak avg 22.0 is not clearly above normal avg 78.8.
20,191-200,100,80.7,24.0,125.0,65.8,0.0,125.0,9,0,0,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
21,201-210,100,84.0,27.0,153.0,71.0,82.0,153.0,6,3,0,1,2,1,7,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
22,211-220,88,75.3,56.0,114.0,70.5,95.7,64.0,5,3,1,1,2,1,8,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,peak avg 64.0 is not clearly above normal avg 70.5.
23,221-230,100,84.8,57.0,163.0,69.7,79.0,163.0,5,4,0,1,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
24,231-240,100,76.4,26.0,143.0,62.8,90.0,84.5,6,2,1,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
25,241-250,100,83.3,51.0,137.0,66.8,115.0,94.0,7,1,2,0,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
26,251-260,88,69.0,26.0,108.0,66.8,108.0,41.0,7,1,1,1,2,1,9,1,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,peak avg 41.0 is not clearly above normal avg 66.8.
27,261-270,88,66.6,22.0,107.0,69.4,95.0,24.0,7,1,1,1,2,1,8,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,peak avg 24.0 is not clearly above normal avg 69.4.
28,271-280,88,81.7,23.0,116.0,88.6,116.0,43.0,7,1,1,1,2,1,7,1,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,peak avg 43.0 is not clearly above normal avg 88.6.
