"selectedIndex","order","section10","category","difficultyCode","rhythmBucket","rhythmExperienceRole","slotDutyV3","sampleRole","whySelected","humanReviewQuestion","expectedTraceV2Focus","productionLane","chainLanguage","finalChain","canvasAdjustedChain","finalArrow","finalArea","replacementMark","auditFindings","finalLevelAssetPath","syncAssetPath","tracePath","traceAbsolutePath","traceAssetExists","finalGuid"
"21","168","17","shape","2","Shape","Shape","ShapeReadAnchor","shape_high_arrow_hard_2","第二个 shape 高箭头困难样本","作为 shape hard 对照","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","118","118","1004","1862","KEPT_C5V4FSC_REPLACEMENT","WARN:arrow_cap;INFO:large_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgReviewTop3Rescue\campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","True","7dddf6513821cc745aaddbb8298add7a"
"22","181","19","normal","1","Ordinary","Recovery","RecoveryFlow","section19_recovery","低分 section19 的 recovery/ordinary","检查 recovery 是否真的释放","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","Campaign500_HardGateUntil0910","strict_hard_chain","77","77","700","713","KEPT_C5V4FSC_REPLACEMENT","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\h01r\c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","True","6ed8a15fb8bc1964d9ed774d89c973c0"
"23","185","19","normal","2","Hard","Pressure","ReadCheck","section19_hard_contrast","低分 section19 的 hard","检查 hard 是否反而不如 normal 难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","PeelMid","curve_chain","75","75","705","713","KEPT_C5V4FSC_REPLACEMENT","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\w10smh\c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","True","8739171442352dd458939a9739f8c52a"
"24","188","19","normal","1","Ordinary","Normal","NormalPractice","section19_heavy_normal","低分 section19 的 heavy normal","检查 normal 是否压过困难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","106","106","784","798","V5_DONOR_REVERT_FOR_UNIQUENESS","INFO:arrow_cap","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NormalTopupCandidates\direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset","True","9a4adbb45aec3e64a911d08946948b4d"
"25","217","22","hole","1","HoleRescue","HoleRescue","HoleSpatialAnchor","post_extreme_release_late","后段 extreme 后释放不足样本","检查 release failure 是否被事件化","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","56","56","540","616","KEPT_ORIGINAL_TEMPLATE","WARN:post_peak_release","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset","U/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_072_wide_28x22_lock.asset","True","ede28484863beea439a9485d5d30706d"
"26","305","31","normal","3","Hard","Pressure","StylePeak","section31_peak_contrast","低分 section31 的 peak/hard样本","检查 peak contrast 是否不足","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","PeelMid","rail_chain","82","82","818","825","KEPT_C5V4FSC_REPLACEMENT","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\w10smh\c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","True","f1cc87831ec50b145b3944ac2c46bf2c"
"27","310","31","normal","1","Ordinary","Normal","NormalPractice","section31_heavy_normal","低分 section31 的 heavy normal","与305对照，判断普通倒挂","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","111","111","838","851","KEPT_ORIGINAL_TEMPLATE","INFO:arrow_cap;WARN:post_peak_release","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NormalCandidates\direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset","True","1f80c8409af375040a773a1016f0d8db"
"28","378","38","shape","1","Shape","Shape","ShapeAnchor","late_shape_heavy","后段重 shape 样本","检查空间/视觉重与卡点难度区别","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","138","138","1134","1672","KEPT_C5V4FSC_REPLACEMENT","INFO:chain_cap;WARN:arrow_cap;INFO:large_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgReviewTop3Rescue\campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep.asset","True","96d04854831cc7b4ab89b5c8dc4deaf2"
"29","456","46","normal","4","Peak","Peak","ExtremeMemory","late_extreme_longchain","后段 extreme longchain样本","检查终局峰值是否有强 readable choke","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","LongChainProbe","patch_chain","92","104","1045","1102","KEPT_C5V4FSC_REPLACEMENT","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve.asset","True","be6703660a5a1ce4e878b67b37eb9e1b"
"30","466","47","normal","1","Ordinary","Normal","NormalPractice","late_heavy_normal","后段超重 normal样本","检查普通高量级是否是假难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","166","166","1015","1040","KEPT_ORIGINAL_TEMPLATE","WARN:chain_cap;WARN:arrow_cap;INFO:large_jump;INFO:post_peak_release","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_05_direct_polish_hard_pure_rect_dual_zone_g9_v01.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_05_direct_polish_hard_pure_rect_dual_zone_g9_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_05_direct_polish_hard_pure_rect_dual_zone_g9_v01.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\PureTopupCandidates\Slice07\direct_pure_topup_07_05_direct_polish_hard_pure_rect_dual_zone_g9_v01.asset","True","8178082faeb347d46913f24fae06f852"
