order,section10,mainMissionId,levelName,category,difficultyNameZh,experienceRole,roleInSection,finalStatus,finalLevelId,finalAssetPath,originalLevelId,originalAssetPath,replacementSourceKind,productionLane,productionChainLanguage,productionDifficultyBand,sourceCoverage,maxChoices,localPatchSolveRunMax,nearOuterPatchSolveRunMax,solveTraceQualityScore,solveTraceCollapseRiskScore,solveSameAxisRunMax,solveSameDirHeadRunMax,assemblyAction,assemblySourcePool,assemblySourceRoot,assemblyGateClass,assemblySelectionReason,assemblyCopyRequired,assemblyCandidateLevelId,assemblyCandidateAssetPath,assemblyCandidateStyle,assemblyCandidateChainLanguage,assemblyCandidateRole,assemblyManualReview,assemblyRemainingGap,assemblyGapReason,assemblyCandidateWidth,assemblyCandidateHeight,assemblyCandidateChains,assemblyCandidateAvgChoices,assemblyCandidateMaxChain,assemblyCandidateAvgChain,assemblyCandidateStraightness,assemblyCandidateProfile
1,1,101,Main/Level_Main_1,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.98,6,4,2,0.833,0.194,6,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_79
2,1,102,Main/Level_Main_2_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
3,1,103,Main/Level_Main_3,normal,普通/恢复,Normal,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L003_level3_tiny_03_level3_tiny_mini_maze_17.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.974,8,6,5,0.895,0.123,8,3,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_35
4,1,104,Main/Level_Main_4,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_01_L004_crystalball,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset,shape_psg_inventory,,,,0.989,8,8,6,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,FormalAccepted,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_newbie4_01_L004_crystalball,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,CoreBurst,,NewbieTraceKeeper,False,False,,24,28,55,4.35,,,,CoreBurst
5,1,105,Main/Level_Main_5,normal,普通/恢复,Normal,NormalB_NeutralOrPeelLight,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L005_nomask_style_01_hui_spiral.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.976,8,5,5,0.851,0.14,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_20
6,1,106,Main/Level_Main_6,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_02_L006_potionbottle,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset,shape_psg_inventory,,,,0.984,6,8,3,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,FormalAccepted,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_newbie4_02_L006_potionbottle,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,DenseWeave,,NewbieTraceKeeper,False,False,,28,32,53,3.68,,,,DenseWeave
7,1,107,Main/Level_Main_7,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.993,8,6,3,0.857,0.209,8,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_21
8,1,108,Main/Level_Main_8,normal,普通/恢复,Normal,Hard,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L008_nomask_08_dual_zone.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.988,8,4,3,0.82,0.258,8,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_57
9,1,109,Main/Level_Main_9,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_03_L009_ruler,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset,shape_psg_inventory,,,,0.987,4,8,1,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,FormalAccepted,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_newbie4_03_L009_ruler,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,SectionUnlock,,NewbieTraceKeeper,False,False,,26,26,34,2.71,,,,SectionUnlock
10,1,110,Main/Level_Main_10,normal,困难,Normal,Peak,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L010_direct_pure_topup_01_22_direct_refresh_topup_rect_.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.98,8,5,4,0.83,0.241,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_86
