order,category,finalStatus,finalLevelId,finalAssetPath,loadedAssetPath,loadMode,assemblyAction,assemblySourcePool,assemblyGateClass,assemblyRemainingGap,assemblyCopyRequired,productionLane,productionStyle,productionChainLanguage,chains,sourceCoverage,maxChoices,localPatchSolveRunMax,solveTraceQualityScore,note
1,normal,OriginalKeptRhythmV4,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,BasePreviewFallback,KeepCurrent,,,False,False,,,,,,,,,missingFinalAssetPath
2,hole,OriginalNonTarget,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,BasePreviewFallback,KeepCurrent,,,False,False,,,,,,,,,missingFinalAssetPath
3,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,ManifestAsset,ActiveReplace,Campaign500NormalFullV1UnusedStrict,RhythmV4Front300TraceKeep,False,False,FlowRail,flow,rail_chain,36,0.988,7,3,0.809,
4,shape,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_01_L004_crystalball,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,FormalAccepted,False,True,,CoreBurst,,55,0.989,8,8,,
5,normal,ReplacedRhythmV4,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowPatch,flow,patch_chain,36,0.993,8,4,0.905,
6,shape,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_02_L006_potionbottle,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,FormalAccepted,False,True,,DenseWeave,,53,0.984,6,8,,
7,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,NeutralMixed,neutral,mixed_chain,50,0.976,8,5,0.851,
8,normal,ReplacedRhythmV4,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowPatch,flow,patch_chain,46,0.991,7,3,0.94,
9,shape,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_03_L009_ruler,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,FormalAccepted,False,True,,SectionUnlock,,34,0.987,4,8,,
10,normal,ReplacedRhythmV4,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,NeutralMixed,neutral,mixed_chain,52,0.98,6,4,0.833,
11,normal,ReplacedRhythmV4,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowCurve,flow,rail_chain,34,0.984,7,6,0.907,
12,normal,ReplacedRhythmV4,campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,ManifestAsset,ActiveReplace,Campaign500_HardGateUntil0910,RhythmV4Front300TraceKeep,False,False,FlowPatch,flow,patch_chain,48,0.991,9,3,0.932,
13,shape,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_04_L013_magicwand,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,ManifestAsset,ActiveReplace,ShapeMaskInventory,FormalAccepted,False,True,,Sweep,,60,0.982,9,8,,
