order,section10,positionIn10,macroArc,sectionRole,levelName,category,difficultyCode,difficultyNameZh,slotDutyV2,targetExperience,styleTargetV2,chainLanguageTargetV2,targetEffectiveLoadMin,targetEffectiveLoad,targetEffectiveLoadMax,effectiveLoadBand,readDemandTarget,requiredEvidence,avoidRules,loadInterpretationNote,productionNeed,finalLevelId,finalAssetPath,loadedAssetPath,sourceOrder,sourceStatus,sourcePool,productionLane,productionStyle,chainLanguage,productionChainLanguage,candidateRawChains,candidateEffectiveLoad,finalChain,actualChains,finalArrow,sourceCoverage,maxChoices,localPatchSolveRunMax,solveTraceQualityScore,matchMode,matchScore,matchReason,calibratedLoadNote,bandFit,changedFromV4Order,layoutVersion
1,1,1,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_1,normal,1,普通/恢复,TutorialRule,"first click, chain clear, win condition",Flow/Mixed,curve_short,3,6,8,3-8,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,keep_original,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,1,OriginalKeptRhythmV4,C5V4FSC,,,,,,,6,,21,,,,,exact-theme-keep,0.0,preserve tutorial/category theme,unknown-load-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
2,1,2,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_2_hole,hole,1,普通/恢复,HoleSpatialAnchor,rescue theme and hole-space contrast,Hole/Mixed,theme_space,8,13,18,8-18,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,use_existing_hole_anchor_pool,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,2,OriginalNonTarget,C5V4FSC,,,,,,,13,,130,,,,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
3,1,3,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_3,normal,1,普通/恢复,CanvasStep,camera and wider board scale introduction,Flow/Peel/Mixed,rail_clear,18,23,28,18-28,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,3,ReplacedRhythmV4,C5V4FSC,FlowRail,flow,rail_chain,rail_chain,36,36.51,37,36,122,0.988,7,3,0.809,scored-match,21.04,load:near-band;style:flow;lang:rail;same-order-stable;near-order;replaced,,out_of_band,false,Campaign500First50V2ExistingV1
4,1,4,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_4,shape,1,普通/恢复,ShapeAnchor,first crystalball visual unlock,ShapeHosted/Peel/Mixed,theme_shape,20,25,30,20-30,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,use_existing_shape_anchor_pool,campaign500_shape_psg_newbie4_01_L004_crystalball,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,4,ShapeCandidatePlanned,C5V4FSC,,CoreBurst,,,55,55.0,25,55,327,0.989,8,8,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
5,1,5,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_5,normal,1,普通/恢复,NormalPractice,post-shape normal continuation,Flow/Peel,rail_or_curve,24,29,34,24-34,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,5,ReplacedRhythmV4,C5V4FSC,FlowPatch,flow,patch_chain,patch_chain,36,37.13,37,36,364,0.993,8,4,0.905,scored-match,-0.48,load:near-band;style:flow;lang:rail;same-order-stable;near-order;replaced,,out_of_band,false,Campaign500First50V2ExistingV1
6,1,6,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_6,shape,1,普通/恢复,ShapeAnchor,"second shape unlock, keep pressure low",ShapeHosted/Peel/Mixed,theme_shape,24,30,36,24-36,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,use_existing_shape_anchor_pool,campaign500_shape_psg_newbie4_02_L006_potionbottle,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,6,ShapeCandidatePlanned,C5V4FSC,,DenseWeave,,,53,53.0,30,53,369,0.984,6,8,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
7,1,7,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_7,normal,1,普通/恢复,ReadCheck,first lock-like one-step read,Peel/LockLite/Mixed,rail_patch,30,35,40,30-40,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,300,ReplacedRhythmV4,C5V4FSC,FlowCurve,flow,curve_chain,curve_chain,36,38.84,39,36,424,0.986,9,3,0.89,scored-match,-21.248,load:in-band;style:mixed;style:neutral-mixed;lang:rail;replaced,,in_band,true,Campaign500First50V2ExistingV1
8,1,8,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_8,normal,1,普通/恢复,NormalPractice,ordinary practice and gentle ramp,Flow/Peel/Mixed,curve_or_rail,32,37,42,32-42,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,11,ReplacedRhythmV4,C5V4FSC,FlowCurve,flow,rail_chain,rail_chain,34,36.92,37,34,347,0.984,7,6,0.907,scored-match,-32.776,load:in-band;style:flow;lang:rail;near-order;replaced,,in_band,true,Campaign500First50V2ExistingV1
9,1,9,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_9,shape,1,普通/恢复,ShapeAnchor,third visual reward,ShapeHosted/Peel/Mixed,theme_shape,30,36,42,30-42,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,use_existing_shape_anchor_pool,campaign500_shape_psg_newbie4_03_L009_ruler,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,9,ShapeCandidatePlanned,C5V4FSC,,SectionUnlock,,,34,34.0,36,34,194,0.987,4,8,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
10,1,10,A1_OnboardingSafety,front10_onboard_light_quiz,Main/Level_Main_10,normal,2,困难,ReadCheck,front10 light quiz,Peel/LockLite/Mixed,rail_patch,34,38,42,34-42,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean.asset,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean.asset,299,ReplacedRhythmV4,C5V4FSC,slot_headmix_outerclean,longchain,family_profile_chain,family_profile_chain,15,36.69,37,15,372,0.9375,8,3,0.947,scored-match,-21.332,load:in-band;readcheck-suitable;replaced,,in_band,true,Campaign500First50V2ExistingV1
