section10,levels,score,avgChain,minChain,maxChain,normalAvg,hardAvg,peakAvg,code1,code2,code3,code4,shape,hole,styleDiversity,findingCount,sectionRole,playerExperience,topRisk
1,1-10,100,31.2,6.0,60.0,27.2,60.0,0.0,9,1,0,0,3,1,7,0,教学开场,每关一个教学/主题职责；低压但变化密集,
2,11-20,88,49.2,31.0,94.0,46.3,0.0,94.0,9,0,1,0,1,1,7,1,前20标杆,正式前20收束；19作为第一个可记住挑战，20释放,front20 section max chain 94 may be too high.
3,21-30,88,72.6,42.0,98.0,70.2,98.0,98.0,8,1,0,1,2,1,7,1,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,section avg jumps +23.4 from previous section.
4,31-40,88,79.2,41.0,103.0,71.8,98.7,101.0,6,3,1,0,2,1,8,1,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,early section avg chain 79.2 may rise too fast.
5,41-50,88,77.6,43.0,117.0,67.7,81.0,103.0,4,4,1,1,2,1,8,1,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,early section avg chain 77.6 may rise too fast.
6,51-60,88,82.0,43.0,108.0,80.5,97.5,92.5,6,2,2,0,2,1,8,1,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,peak avg 92.5 is not clearly above normal avg 80.5.
7,61-70,100,80.3,43.0,104.0,62.7,98.7,102.0,5,3,1,1,2,1,7,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
8,71-80,100,79.7,45.0,104.0,77.0,0.0,99.0,8,0,2,0,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
9,81-90,100,83.5,45.0,107.0,50.5,97.6,100.5,3,5,1,1,2,1,7,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
10,91-100,100,79.8,47.0,110.0,52.7,94.0,108.5,4,4,1,1,2,1,7,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
11,101-110,100,91.7,47.0,117.0,82.3,107.0,106.5,5,3,2,0,2,1,6,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
12,111-120,88,90.3,49.0,108.0,90.8,93.7,105.0,5,3,2,0,2,1,8,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,hard avg 93.7 is not clearly above normal avg 90.8.
13,121-130,100,84.3,50.0,102.0,82.4,96.0,97.5,7,1,2,0,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
14,131-140,100,86.4,52.0,113.0,79.5,95.2,113.0,5,4,0,1,2,1,7,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
15,141-150,88,98.3,50.0,114.0,102.0,111.0,113.5,7,1,1,1,2,1,8,1,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,peak avg 113.5 is not clearly above normal avg 102.0.
16,151-160,100,95.5,76.0,115.0,81.3,100.8,103.5,3,5,2,0,2,1,7,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
17,161-170,100,95.7,53.0,124.0,84.5,114.5,119.0,6,2,2,0,2,1,8,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
18,171-180,76,99.6,52.0,115.0,100.8,106.0,113.5,7,1,2,0,2,1,9,2,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,hard avg 106.0 is not clearly above normal avg 100.8.; peak avg 113.5 is not clearly above normal avg 100.8.
19,181-190,76,99.2,55.0,113.0,103.4,103.0,112.0,8,1,1,0,2,1,6,2,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,hard avg 103.0 is not clearly above normal avg 103.4.; peak avg 112.0 is not clearly above normal avg 103.4.
20,191-200,100,100.8,82.0,135.0,97.5,0.0,135.0,9,0,0,1,2,1,7,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
21,201-210,88,106.2,56.0,153.0,104.8,110.7,153.0,6,3,0,1,2,1,6,1,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,hard avg 110.7 is not clearly above normal avg 104.8.
22,211-220,100,98.5,56.0,144.0,89.5,107.3,124.5,5,3,1,1,2,1,8,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
23,221-230,100,108.2,57.0,163.0,103.3,112.5,163.0,5,4,0,1,2,1,5,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
24,231-240,100,107.3,54.0,171.0,94.5,108.5,157.0,6,2,1,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
25,241-250,100,115.1,83.0,150.0,110.4,120.0,143.5,7,1,2,0,2,1,7,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
26,251-260,100,113.7,59.0,159.0,109.0,117.0,153.0,7,1,1,1,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
27,261-270,100,118.1,82.0,184.0,104.8,118.0,170.5,7,1,1,1,2,1,7,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
28,271-280,100,117.4,61.0,201.0,109.8,119.0,166.0,7,1,1,1,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
29,281-290,100,123.7,62.0,214.0,108.8,118.0,193.0,5,3,1,1,2,1,7,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
30,291-300,100,118.7,60.0,178.0,109.0,120.5,170.5,6,2,1,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
31,301-310,100,126.2,82.0,200.0,111.6,121.0,190.5,7,1,1,1,2,1,6,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
32,311-320,100,123.8,65.0,233.0,112.0,125.0,183.5,7,1,1,1,2,1,8,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
33,321-330,100,128.8,66.0,203.0,106.5,127.0,180.7,5,2,2,1,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
34,331-340,100,135.7,80.0,216.0,110.2,138.5,186.3,5,2,2,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
35,341-350,100,140.8,67.0,213.0,115.7,140.7,190.7,4,3,2,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
36,351-360,100,126.4,72.0,176.0,113.8,129.5,159.3,5,2,2,1,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
37,361-370,88,150.8,85.0,204.0,148.6,0.0,201.0,8,0,2,0,2,1,7,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,section avg jumps +24.4 from previous section.
